"","X","Address","Restaurant","Cuisine","Latitude","Longitude","City"
"1",1,"1 Charles St Boston, MA, 02108","Ostra","American (New), Seafood",42.3564175,-71.0694344,"Boston"
"2",33,"1 Harborside Dr Boston, MA, 02128","Legal C Bar","Seafood",42.3634422,-71.0257812,"Boston"
"3",80,"1 Seaport Ln Boston, MA, 02210","Aura","American (New), Seafood",42.34924,-71.0415124,"Boston"
"4",173,"10 City Sq Charlestown, MA, 02129","Legal Osteria","Italian, Seafood, Tapas",42.3723837,-71.0616159,"Boston"
"5",261,"100 Huntington Ave Boston, MA, 02116","Legal Sea Foods 100","Seafood, New England",42.3471447,-71.0773777,"Boston"
"6",473,"101 Harborside Dr Boston, MA, 02128","Harborside Grill and Patio","American (New), Seafood",42.3592641,-71.0272118,"Boston"
"7",524,"106 Bunker Hill St Charlestown, MA, 02129","Kipo's","Pizza, Sandwiches, Seafood",42.3775161,-71.0586242,"Boston"
"8",610,"135 Market St Brighton, MA, 02135","Stockyard","Seafood, Steak, American",42.3577819,-71.1485205,"Boston"
"9",634,"1375 Washington Street Boston, MA, 02118","Boston Chops","Seafood, Steak",42.3415092,-71.0695165,"Boston"
"10",713,"1401 Washington St Boston, MA, 02118","Morse Fish Company","Seafood",42.3412541,-71.0701926,"Boston"
"11",810,"15 Fish Pier Rd Boston, MA, 02210","No Name Restaurant","Seafood, New England",42.3503378,-71.0380163,"Boston"
"12",864,"15 Northern Ave Boston, MA, 02210","James Hook & Co Lobsters","Seafood",42.3549799,-71.0509465,"Boston"
"13",884,"15 Union St Boston, MA, 02108","Blackstone Grill","Seafood, American, New England",42.36085,-71.056624,"Boston"
"14",936,"1560 Vfw Pkwy West Roxbury, MA, 02132","Long John Silver's","Seafood, American",42.2668244,-71.1685472,"Boston"
"15",965,"160 Milk Street Boston, MA, 02109","Central Wharf Co.","American (New), Seafood",42.358714,-71.052724,"Boston"
"16",997,"1735 Centre St West Roxbury, MA, 02132","Himalayan Bistro","Seafood, Chicken",42.2874312,-71.1497486,"Boston"
"17",1280,"1856 Centre St West Roxbury, MA, 02132","Phu-Ket Thai Restaurant","Thai, Seafood, Asian",42.2860147,-71.1545676,"Boston"
"18",1491,"19 Union St Boston, MA, 02108","The Tap","Sandwiches, Seafood, Wings",42.3608802,-71.0567251,"Boston"
"19",1524,"2 Northern Ave Boston, MA, 02210","The Daily Catch 2","Seafood",42.354338,-71.0479456,"Boston"
"20",1562,"20 Charles St Boston, MA, 02114","The Upper Crust Pizzeria","Italian, Pizza, Seafood, Pasta",42.3565591,-71.0697892,"Boston"
"21",1629,"200 Atlantic Ave Boston, MA, 02110","Tia's","Seafood",42.3603203,-71.0512967,"Boston"
"22",1679,"220 Northern Ave Boston, MA, 02210","75 on Liberty Wharf","Seafood, American",42.3491069,-71.0388891,"Boston"
"23",1784,"225 Northern Ave Boston, MA, 02210","LTK","American (New), Seafood, New England",42.3483314,-71.0385873,"Boston"
"24",1881,"243 Dorchester St South Boston, MA, 02127","Alfredo's Italian Kitchen","Italian, Pizza, Seafood, American, Pasta, Wraps, Salads, Healthy, Subs",42.3328355,-71.0513289,"Boston"
"25",2053,"25 Tyler St Boston, MA, 02111","GaGa Seafood","Chinese, Seafood",42.3506704,-71.0609622,"Boston"
"26",2203,"255 State St Boston, MA, 02109","Legal Sea Foods 255","Seafood, New England",42.3593857,-71.0513553,"Boston"
"27",2415,"26 Park Plz Boston, MA, 02116","Legal Sea Foods 26","Seafood, New England",42.3509603,-71.0677556,"Boston"
"28",2627,"26 Porter St East Boston, MA, 02128","Off the Boat","Seafood, New England",42.3746613,-71.0378793,"Boston"
"29",2767,"266 Commercial St Boston, MA, 02109","Four Winds Seafood Grille","Southwestern, Seafood",42.364317,-71.051351,"Boston"
"30",2797,"27 Beach St Boston, MA, 02111","East Ocean City","Chinese, Seafood",42.3512603,-71.0618016,"Boston"
"31",3218,"270 Adams St Dorchester, MA, 02122","Saigon Seafood Restaurant","Vietnamese, Seafood, Asian",42.2999728,-71.0585517,"Boston"
"32",3445,"270 Northern Ave Boston, MA, 02210","Legal Harborside","Seafood",42.3486426,-71.0377109,"Boston"
"33",3611,"272 Adams St Dorchester, MA, 02122","Brother's Crawfish","Cajun & Creole, Southern, Seafood",42.299952,-71.0579946,"Boston"
"34",3656,"296 State St Boston, MA, 02109","Waterline","Seafood, American",42.3602243,-71.0508754,"Boston"
"35",3723,"300 Northern Ave Boston, MA, 02210","Yankee Lobster","Seafood, New England",42.3479724,-71.0358488,"Boston"
"36",3829,"313 Old Colony Ave South Boston, MA, 02127","Supreme House of Pizza","Pizza, Sandwiches, Seafood, Chicken, Pasta, Wraps, Subs",42.329517,-71.052818,"Boston"
"37",4006,"323 Hanover St Boston, MA, 02113","The Daily Catch 323","Seafood",42.3640621,-71.0539724,"Boston"
"38",4044,"340 N Market St Boston, MA, 02109","Durgin Park","Seafood, American, New England",42.3605442,-71.0552566,"Boston"
"39",4212,"353 Cambridge St Allston, MA, 02134","Captain Fishbones","Burgers, Pizza, Seafood, Soups, Steak, American, Salads",42.356104,-71.1324579,"Boston"
"40",4340,"383 Congress St Fort Point, MA, 02210","Row 34","Seafood",42.3495958,-71.0475283,"Boston"
"41",4357,"40 Court St Boston, MA, 02108","Oceanaire","Seafood, New England",42.3588496,-71.0592945,"Boston"
"42",4504,"4025 Washington St Roslindale, MA, 02131","Arboretum Pizza Grill","Italian, Mexican, Burgers, Pizza, Sandwiches, Seafood, American, Wings, Pasta, Salads, Grill, Healthy, Subs",42.2919422,-71.1225008,"Boston"
"43",4769,"409 Chelsea St Boston, MA, 02128","Rincon Limeno Restaurant","Peruvian, Seafood, South American",42.3798529,-71.0268636,"Boston"
"44",4880,"41 Union St Boston, MA, 02108","Union Oyster House","Seafood",42.3612512,-71.0569499,"Boston"
"45",4982,"433 Faneuil St Brighton, MA, 02135","Thai North Catering","Noodles, Thai, Seafood, Soups, Salads, Vegetarian, Asian, Healthy",42.351266,-71.1683908,"Boston"
"46",5376,"45 Beach St Boston, MA, 02111","Bubor Cha Cha","Chinese, Dim Sum, Seafood",42.3513171,-71.060926,"Boston"
"47",5549,"467 W Broadway Boston, MA, 02127","Nick's House of Pizza & Seafood","Burgers, Pizza, Sandwiches, Seafood, Wraps",42.3356905,-71.0463159,"Boston"
"48",5717,"49 Warren St Roxbury, MA, 02119","China Bo ($1 Chinese Rice/#1 Chinese Food)","Chinese, Japanese, Sushi, Noodles, Thai, Mexican, Ice Cream, Pizza, Seafood, Soups, Wings, Pasta, Desserts, Salads, Vegetarian, Asian, Healthy, Late Night, Subs",42.3291303,-71.0837041,"Boston"
"49",6144,"5 High St Boston, MA, 02110","Fire House Seafood","Seafood",42.3531856,-71.0567199,"Boston"
"50",6172,"5 Hudson St Boston, MA, 02111","New Jumbo Seafood","Chinese, Seafood",42.350931,-71.0601999,"Boston"
"51",6396,"50 Dalton St Boston, MA, 02115","Jasper White's Summer Shack","Seafood",42.3469888,-71.085711,"Boston"
"52",6604,"500 Commonwealth Ave Boston, MA, 02215","Island Creek Oyster Bar","Seafood, Gastropub, Local/Organic, New England",42.3486282,-71.0952228,"Boston"
"53",6729,"510 Atlantic Ave Boston, MA, 02210","Miel","French, Seafood",42.3536908,-71.0519125,"Boston"
"54",6818,"529 Washington St Brighton, MA, 02135","Hoshiya Sushi","Japanese, Sushi, Seafood, Asian, Lunch Specials",42.349175,-71.1629077,"Boston"
"55",6958,"550 Tremont St Boston, MA, 02116","B&G Oysters","Seafood, New England",42.343915,-71.071329,"Boston"
"56",7027,"558 Washington St Boston, MA, 02111","Legal Crossing","Seafood",42.3537039,-71.0622324,"Boston"
"57",7114,"60 Long Wharf Boston, MA, 02110","Chart House","Seafood, Steak",42.3601671,-71.0495214,"Boston"
"58",7203,"63 Salem St Boston, MA, 02113","Neptune Oyster","Seafood, New England",42.3632371,-71.055975,"Boston"
"59",7236,"657 Washington St Dorchester Center, MA, 02124","Lorenz Island Kuisine","Indian, Noodles, Jamaican, Seafood, Caribbean, Chicken, Pasta, Vegetarian, Breakfast, Healthy",42.2887727,-71.07147,"Boston"
"60",7281,"66 Beach St Boston, MA, 02111","New Golden Gate","Chinese, Seafood, Vegetarian",42.3514043,-71.0600374,"Boston"
"61",7467,"686 Morton St Boston, MA, 02126","24 Hour Pizza Delivery","Italian, Pizza, Seafood, American, Wraps, Subs",42.2847472,-71.0920479,"Boston"
"62",7538,"75 Chestnut St Boston, MA, 02108","75 Chestnut","American (New), Seafood, American",42.3569134,-71.0709941,"Boston"
"63",7598,"75 Exeter St Boston, MA, 02116","Luke's Lobster","Seafood",42.3488381,-71.0794555,"Boston"
"64",7691,"752 Bennington St East Boston, MA, 02128","Royal Roast Beef and Seafood","Sandwiches, Seafood, New England",42.3855814,-71.0108213,"Boston"
"65",7811,"761 Boylston St Boston, MA, 02116","Atlantic Fish Company","Seafood, New England",42.3492534,-71.0811514,"Boston"
"66",7931,"774 Boylston St Boston, MA, 02199","L'Espalier","French, Seafood, Vegetarian, New England",42.3488587,-71.0810899,"Boston"
"67",8030,"793 Boylston St Boston, MA, 02116","Abe & Louie's Steakhouse","Seafood, Steak",42.3492394,-71.0816024,"Boston"
"68",8149,"80 Atlantic Ave Boston, MA, 02110","Boston Sail Loft","Seafood, American",42.362474,-71.0505556,"Boston"
"69",8210,"83 Essex St Boston, MA, 02111","Chau Chow City","Chinese, Seafood",42.3523984,-71.0602081,"Boston"
"70",8235,"87 A St Boston, MA, 02127","KO Pies","Sandwiches, Seafood",42.3424348,-71.0545821,"Boston"
"71",8265,"88 Sleeper St Boston, MA, 02210","Barking Crab","Seafood, New England",42.3538179,-71.0486393,"Boston"
"72",8330,"900 Boylston St Boston, MA, 02115","Towne Stove and Spirits","American (New), Seafood, Eclectic & International, Cocktails",42.3475962,-71.0851772,"Boston"
"73",8560,"Faneuil Hall Marketplace Boston, MA, 02109","McCormick & Schmick's","Seafood, Steak",42.3603769,-71.0549315,"Boston"
"74",8738,"15 Court Square, Boston, MA 02108","Captain Marden's Seafoods","Sandwiches, Seafood",42.358158,-71.0585053,"Boston"
"75",8750,"1135 Forest Ave Portland, ME, 04103","Susan's Fish N Chips","Seafood",43.6860231,-70.2918727,"Portland"
"76",8781,"15 Exchange St Portland, ME, 04101","Walter's","Seafood, American",43.6569016,-70.2534878,"Portland"
"77",8815,"215 Foreside Rd Falmouth, ME, 04105","The Falmouth Sea Grill","Seafood, American",43.7288958,-70.2093851,"Portland"
"78",8863,"225 Two Lights Rd Cape Elizabeth, ME, 04107","The Lobster Shack","Seafood, American",43.564353,-70.198458,"Portland"
"79",8898,"25 Union Wharf Portland, ME, 04101","DiMillo's Floating Restaurant & Marina","Seafood, American",43.6540933,-70.2534285,"Portland"
"80",9017,"33 Wharf St Portland, ME, 04101","Street & Co.","Seafood, American",43.6558841,-70.2540164,"Portland"
"81",9043,"380 Gorham Rd Portland, ME, 04106","Weathervane Seafood Restaurant","Burgers, Sandwiches, Seafood, American, Pasta, Salads",43.6361051,-70.3319528,"Portland"
"82",9181,"5 Portland Portland, ME, 04101","J's Oyster","Seafood, American",43.6587381,-70.262005,"Portland"
"83",9234,"92 Commercial St Portland, ME, 04101","Gilbert's Chowder House","Seafood, American",43.6568441,-70.2505061,"Portland"
"84",9285,"93 Commercial St Portland, ME, 04101","Old Port Sea Grill & Raw Bar","Seafood, American",43.6573362,-70.2506683,"Portland"
"85",9347,"10 Exchange St Charleston, SC, 29401","The Boathouse 10","Seafood, American",32.7768389,-79.9261996,"Charleston"
"86",9466,"10 Hayne St Charleston, SC, 29401","Hank's Seafood Restaurant","Seafood, American",32.7819497,-79.9298949,"Charleston"
"87",9512,"12 Anson St Charleston, SC, 29401","Anson","Seafood, American",32.7817611,-79.9289112,"Charleston"
"88",9550,"145 Wappoo Creek Drive Charleston, SC, 29412","Charleston Crab House 145","Seafood, American",32.7655866,-79.9748279,"Charleston"
"89",9595,"153 E Bay St Charleston, SC, 29401","Pearlz Oyster Bar 153","Seafood, American",32.7781761,-79.927206,"Charleston"
"90",9671,"167 E Bay St Charleston, SC, 29401","Cypress Restaurant","Seafood, American",32.7787775,-79.9273591,"Charleston"
"91",9687,"171 E Bay St Charleston, SC, 29401","Blossom","Seafood, American",32.778945,-79.9272716,"Charleston"
"92",9804,"186 Concord St Charleston, SC, 29401","Fleet Landing","Seafood, American",32.7803972,-79.9247328,"Charleston"
"93",9889,"1901 Ashley River Rd Charleston, SC, 29407","The Crab Shack 1901","Seafood, American",32.8055362,-80.0222382,"Charleston"
"94",10028,"1936 Savannah Hwy Charleston, SC, 29407","Captain D's 1936","Seafood, American",32.7892096,-80.0247385,"Charleston"
"95",10084,"205 E Bay St Charleston, SC, 29401","Amen Street Fish & Rawbar","Seafood",32.780193,-79.9273161,"Charleston"
"96",10155,"213 Meeting St Charleston, SC, 29401","Hyman's Seafood","Seafood, American",32.7815261,-79.9318076,"Charleston"
"97",10272,"35 S Market St Charleston, SC, 29401","A W Shuck's Seafood","Seafood, American",32.7806886,-79.9281525,"Charleston"
"98",10336,"38 Romney St Charleston, SC, 29403","The Boathouse 38","Seafood, American",32.8082783,-79.944999,"Charleston"
"99",10455,"39 John St Charleston, SC, 29403","Coast","Seafood, American",32.7882886,-79.9370647,"Charleston"
"100",10520,"4008 Rivers Ave Charleston, SC, 29405","Captain D's 4008","Seafood, American",32.8655566,-79.9887144,"Charleston"
"101",10576,"41 S Market St Charleston, SC, 29401","Charleston Crab House 41","Seafood, American",32.7807917,-79.9282554,"Charleston"
"102",10621,"442 King St Charleston, SC, 29403","Fish","Seafood, American",32.7887425,-79.9380921,"Charleston"
"103",10683,"504 Folly Rd Charleston, SC, 29412","Locklear's Fine Seafood","Seafood, American",32.7546104,-79.9718564,"Charleston"
"104",10847,"5130 Ashley Phosphate Rd Charleston, SC, 29418","Captain D's 5130","Seafood, American",32.9161868,-80.105756,"Charleston"
"105",10903,"549 E Bay St Charleston, SC, 29403","The Boathouse 549","Seafood, American",32.7920002,-79.9314585,"Charleston"
"106",11022,"6326 Rivers Ave North Charleston, SC, 29410","Captain D's 6326","Seafood, American",32.9114158,-80.0236904,"Charleston"
"107",11078,"800 Century Pl Charleston, SC, 29412","Crab Shack","Seafood, American",32.7365658,-79.9507192,"Charleston"
"108",11217,"837 Folly Rd Charleston, SC, 29412","Huff's Seafood","Seafood, American",32.737575,-79.966946,"Charleston"
"109",11296,"8486 Dorchester Rd Charleston, SC, 29420","The Crab Shack 8486","Seafood, American",32.9178954,-80.113,"Charleston"
"110",11435,"9 Magnolia Road Charleston, SC, 29407","Pearlz Oyster Bar 9","Seafood",32.7824966,-79.985971,"Charleston"
"111",11511,"99 S Market St Charleston, SC, 29401","Bubba Gump Shrimp Co.","Seafood, American",32.7804165,-79.9309005,"Charleston"
